rikishi1_rank_name,rikishi2_rank_name,rikishi1_rank_level,rikishi2_rank_level,rikishi1_win_prc,rikishi2_win_prc,rikishi1_fusen,rikishi2_fusen,rikishi1_hth_wins,rikishi2_hth_wins,y
M,M,15,12,1,0.3333333333333333,0,0,3,0,yes
M,M,12,14,0.6666666666666666,0.6666666666666666,0,0,2,0,yes
M,M,11,15,0.3333333333333333,0.3333333333333333,0,0,0,0,yes
M,M,14,10,0.3333333333333333,1,0,0,4,3,yes
M,M,9,13,0.3333333333333333,0.3333333333333333,0,0,5,2,yes
M,M,11,8,1,0.3333333333333333,0,0,4,1,yes
M,M,9,7,0.3333333333333333,0.6666666666666666,0,0,1,8,yes
M,M,10,7,0.3333333333333333,0,0,0,0,0,no
M,M,8,5,0.6666666666666666,0.6666666666666666,0,0,1,6,no
M,M,4,6,0.3333333333333333,0.6666666666666666,0,0,0,0,yes
M,M,4,6,0.3333333333333333,1,0,0,2,0,no
M,M,3,5,0.6666666666666666,0.3333333333333333,0,0,3,2,yes
S,K,1,1,1,0.3333333333333333,0,0,5,3,yes
S,M,1,3,0.3333333333333333,0,0,0,10,1,no
M,O,1,2,0.6666666666666666,0.3333333333333333,0,0,14,11,no
O,K,1,1,0.6666666666666666,0.6666666666666666,0,0,9,1,yes
M,Y,2,1,0,1,0,0,2,25,no
Y,M,1,2,1,0.6666666666666666,0,0,30,8,yes
M,J,14,2,0.5,0.25,0,0,6,1,yes
M,M,13,15,0.25,0.25,0,0,0,0,yes
M,M,12,13,0.75,0.25,0,0,3,4,yes
M,M,15,11,1,0.5,0,0,8,5,yes
M,M,16,11,0.5,1,0,0,3,6,no
M,M,9,14,0.5,0.5,0,0,1,1,yes
M,M,8,12,0.25,0.25,0,0,0,3,no
M,M,10,8,0.75,0.5,0,0,1,3,yes
M,M,9,7,0.5,0.25,0,0,0,0,yes
M,M,10,7,0.25,0.5,0,0,7,9,no
M,M,5,6,0.75,1,0,0,2,1,yes
M,M,6,4,0.5,0.25,0,0,2,0,yes
M,M,4,5,0.5,0.25,0,0,2,1,no
M,K,3,1,0.75,0.5,0,0,4,6,yes
S,K,1,1,0.25,0.25,0,0,5,4,yes
M,S,1,1,0.5,1,0,0,10,13,yes
O,M,2,1,0.5,0.25,0,0,5,6,yes
M,O,2,1,0,0.75,0,0,9,13,no
Y,M,1,3,1,0.25,0,0,4,2,yes
Y,M,1,2,1,0.5,0,0,24,3,yes
J,M,3,15,0.4,0.2,0,0,2,1,no
M,M,13,14,0.2,0.6,0,0,0,0,yes
M,M,16,13,0.4,0.4,0,0,2,2,no
M,M,15,11,1,1,0,0,2,3,yes
M,M,12,11,0.8,0.4,0,0,2,6,yes
M,M,10,14,0.8,0.4,0,0,3,5,no
M,M,9,12,0.6,0.4,0,0,2,2,yes
M,M,10,8,0.2,0.2,0,0,0,3,yes
M,M,9,6,0.6,0.8,0,0,0,3,no
M,M,6,8,0.6,0.4,0,0,2,2,yes
M,M,7,5,0.6,0.8,0,0,2,3,no
M,M,5,7,0.4,0.2,0,0,0,0,yes
M,M,1,4,0.6,0.2,0,0,2,1,no
K,M,1,1,0.2,0.2,0,0,4,10,no
M,S,2,1,0,0.8,0,0,5,11,yes
M,S,4,1,0.4,0.4,0,0,3,12,no
M,O,2,1,0.4,0.8,0,0,7,26,no
O,M,2,3,0.6,0.8,0,0,13,0,yes
Y,M,1,3,1,0.2,0,0,5,0,yes
Y,K,1,1,1,0.4,0,0,7,3,yes
J,M,3,14,0.5,0.5,0,0,5,0,yes
M,M,15,12,1,0.8333333333333334,0,0,5,3,no
M,M,16,12,0.3333333333333333,0.3333333333333333,0,0,3,0,no
M,M,11,14,0.8333333333333334,0.5,0,0,1,3,no
M,M,10,15,0.3333333333333333,0.3333333333333333,0,0,0,0,no
M,M,13,8,0.3333333333333333,0.3333333333333333,0,0,2,2,no
M,M,7,13,0.5,0.5,0,0,3,3,yes
M,M,9,6,0.6666666666666666,0.6666666666666666,0,0,2,3,no
M,M,6,7,0.8333333333333334,0.16666666666666666,0,0,0,0,no
M,M,9,5,0.5,0.5,0,0,5,4,no
M,M,8,5,0.16666666666666666,0.8333333333333334,0,0,1,1,no
M,M,2,3,0.16666666666666666,0.16666666666666666,0,0,0,2,yes
M,K,1,1,0.5,0.3333333333333333,0,0,4,3,no
S,M,1,1,0.5,0.3333333333333333,0,0,5,6,no
S,M,1,4,0.6666666666666666,0.3333333333333333,0,0,2,0,yes
O,M,2,2,0.6666666666666666,0.3333333333333333,0,0,11,8,yes
O,M,1,4,0.8333333333333334,0.3333333333333333,0,0,8,6,yes
Y,M,1,3,1,0.6666666666666666,0,0,18,3,yes
Y,K,1,1,1,0.16666666666666666,0,0,5,0,yes
M,J,16,4,0.2857142857142857,0.2857142857142857,0,0,3,2,no
M,J,13,4,0.2857142857142857,0.7142857142857143,0,0,1,2,no
M,M,15,13,0.8571428571428571,0.42857142857142855,0,0,6,6,no
M,M,12,15,0.8571428571428571,0.42857142857142855,0,0,0,0,no
M,M,11,14,0.42857142857142855,0.5714285714285714,0,0,1,0,yes
M,M,10,8,0.2857142857142857,0.42857142857142855,0,0,4,0,yes
M,M,7,14,0.5714285714285714,0.42857142857142855,0,0,0,1,no
M,M,8,7,0.14285714285714285,0.2857142857142857,0,0,0,1,no
M,M,6,12,0.7142857142857143,0.42857142857142855,0,0,2,0,yes
M,M,6,11,0.7142857142857143,0.7142857142857143,0,0,5,2,no
M,M,9,5,0.42857142857142855,0.8571428571428571,0,0,2,5,no
M,M,9,5,0.5714285714285714,0.5714285714285714,0,0,1,1,no
M,M,2,4,0.2857142857142857,0.2857142857142857,0,0,0,1,yes
M,M,2,1,0.2857142857142857,0.42857142857142855,0,0,0,4,no
K,K,1,1,0.42857142857142855,0.14285714285714285,0,0,1,5,no
M,S,1,1,0.42857142857142855,0.42857142857142855,0,0,7,15,no
O,S,1,1,0.8571428571428571,0.7142857142857143,0,0,13,7,no
O,M,2,3,0.7142857142857143,0.14285714285714285,0,0,3,2,yes
Y,M,1,3,1,0.5714285714285714,0,0,14,1,yes
Y,M,1,4,1,0.2857142857142857,0,0,13,3,yes
J,M,1,14,0.375,0.5,0,0,6,2,yes
M,M,15,14,0.75,0.5,0,0,1,0,no
J,M,1,13,0.625,0.5,0,0,1,0,no
M,M,12,15,0.375,0.5,0,0,0,0,no
M,M,11,13,0.5,0.25,0,0,6,5,no
M,M,16,10,0.25,0.375,0,0,0,5,no
M,M,12,8,0.75,0.125,0,0,5,1,yes
M,M,9,7,0.375,0.375,0,0,0,1,yes
M,M,7,8,0.5,0.375,0,0,3,3,no
M,M,11,6,0.75,0.75,0,0,1,2,no
M,M,6,5,0.625,0.625,0,0,2,1,yes
M,M,9,5,0.5,0.875,0,0,2,2,yes
M,M,2,3,0.375,0.125,0,0,4,1,yes
M,M,1,1,0.375,0.5,0,0,2,7,no
M,S,2,1,0.25,0.5,0,0,13,7,yes
K,S,1,1,0.375,0.75,0,0,2,8,yes
O,K,2,1,0.75,0.25,0,0,5,0,yes
O,M,1,3,0.75,0.5,0,0,14,4,yes
Y,M,1,4,1,0.25,0,0,1,1,yes
Y,M,1,4,1,0.25,0,0,15,0,yes
M,M,16,14,0.2222222222222222,0.5555555555555556,0,0,0,4,no
M,M,11,14,0.6666666666666666,0.4444444444444444,0,0,1,1,no
M,M,11,13,0.4444444444444444,0.5555555555555556,0,0,7,1,yes
M,M,15,10,0.6666666666666666,0.4444444444444444,0,0,5,8,yes
M,M,9,15,0.4444444444444444,0.5555555555555556,0,0,0,0,yes
M,M,13,8,0.3333333333333333,0.1111111111111111,0,0,2,1,yes
M,M,7,12,0.4444444444444444,0.3333333333333333,0,0,3,1,yes
M,M,9,6,0.5555555555555556,0.7777777777777778,0,0,1,2,no
M,M,12,6,0.7777777777777778,0.6666666666666666,0,0,6,1,no
M,M,5,8,0.5555555555555556,0.4444444444444444,0,0,5,1,no
M,M,3,7,0.1111111111111111,0.3333333333333333,0,0,0,0,no
M,M,2,4,0.4444444444444444,0.2222222222222222,0,0,8,8,yes
M,M,2,1,0.3333333333333333,0.3333333333333333,0,0,8,14,no
K,M,1,1,0.4444444444444444,0.5555555555555556,0,0,3,3,yes
M,S,3,1,0.4444444444444444,0.6666666666666666,0,0,4,10,yes
O,K,1,1,0.7777777777777778,0.2222222222222222,0,0,5,1,yes
O,S,2,1,0.7777777777777778,0.4444444444444444,0,0,14,15,yes
Y,M,1,4,1,0.2222222222222222,0,0,2,0,yes
Y,M,1,5,1,0.7777777777777778,0,0,3,1,yes
M,M,14,15,0.5,0.5,0,0,0,0,no
M,M,14,12,0.6,0.3,0,0,2,1,yes
M,M,10,11,0.4,0.5,0,0,10,1,no
M,M,9,12,0.5,0.7,0,0,5,1,yes
M,M,16,9,0.2,0.5,0,0,4,5,no
M,M,13,8,0.5,0.5,0,0,0,2,no
M,M,13,7,0.4,0.4,0,0,0,1,no
M,M,15,6,0.7,0.7,0,0,0,3,no
M,M,7,4,0.5,0.2,0,0,4,2,yes
M,M,3,6,0.5,0.8,0,0,1,2,no
M,M,3,8,0.1,0.1,0,0,0,0,no
M,M,2,1,0.5,0.5,0,0,1,2,yes
M,K,2,1,0.3,0.5,0,0,5,2,no
M,K,1,1,0.4,0.2,0,0,3,4,yes
O,M,2,4,0.8,0.2,0,0,11,9,yes
O,M,1,5,0.8,0.7,0,0,3,0,yes
Y,S,1,1,1,0.6,0,0,18,7,yes
Y,S,1,1,1,0.4,0,0,20,1,yes
M,M,16,14,0.18181818181818182,0.45454545454545453,0,0,2,2,yes
J,M,2,12,0.8181818181818182,0.2727272727272727,0,0,0,4,yes
M,M,12,13,0.6363636363636364,0.45454545454545453,0,0,0,5,no
M,M,9,13,0.5454545454545454,0.36363636363636365,0,0,0,3,no
M,M,9,11,0.5454545454545454,0.5454545454545454,0,0,8,5,no
M,M,15,8,0.6363636363636364,0.5454545454545454,0,0,6,3,no
M,M,7,15,0.5454545454545454,0.5454545454545454,0,0,0,0,yes
M,M,6,14,0.7272727272727273,0.6363636363636364,0,0,2,2,yes
M,M,10,5,0.36363636363636365,0.5454545454545454,0,0,2,6,yes
M,M,4,8,0.18181818181818182,0.18181818181818182,0,0,0,2,yes
M,M,4,7,0.18181818181818182,0.45454545454545453,0,0,0,2,yes
M,M,3,1,0.45454545454545453,0.45454545454545453,0,0,0,5,yes
M,M,1,3,0.45454545454545453,0.09090909090909091,0,0,7,1,yes
M,K,2,1,0.2727272727272727,0.18181818181818182,0,0,3,2,no
M,K,2,1,0.5454545454545454,0.5454545454545454,0,0,7,4,yes
O,M,1,6,0.8181818181818182,0.8181818181818182,0,0,1,2,yes
O,M,2,5,0.8181818181818182,0.6363636363636364,0,0,4,0,no
Y,S,1,1,1,0.5454545454545454,0,0,20,2,yes
Y,S,1,1,1,0.36363636363636365,0,0,11,7,yes
M,J,13,3,0.4166666666666667,0.6666666666666666,0,0,0,0,yes
M,M,10,13,0.4166666666666667,0.5,0,0,8,2,no
M,M,9,8,0.5,0.16666666666666666,0,0,6,3,yes
M,M,8,15,0.5833333333333334,0.5,0,0,0,0,no
M,M,15,5,0.5833333333333334,0.5,0,0,2,4,yes
M,M,12,5,0.5833333333333334,0.6666666666666666,0,0,1,1,no
M,M,11,4,0.5833333333333334,0.25,0,0,3,3,yes
M,M,4,14,0.25,0.4166666666666667,0,0,0,0,yes
M,M,3,14,0.5,0.5833333333333334,0,0,0,0,yes
M,M,16,3,0.25,0.08333333333333333,0,0,0,2,no
M,M,2,12,0.25,0.25,0,0,0,2,yes
M,M,1,9,0.5,0.5,0,0,5,2,no
M,M,1,7,0.4166666666666667,0.4166666666666667,0,0,0,0,yes
K,M,1,6,0.5,0.75,0,0,2,2,yes
M,K,7,1,0.5833333333333334,0.25,0,0,2,5,no
M,S,2,1,0.5833333333333334,0.3333333333333333,0,0,7,7,no
S,M,1,6,0.5,0.75,0,0,1,2,yes
Y,O,1,1,1,0.8333333333333334,0,0,27,19,no
Y,O,1,2,1,0.75,0,0,30,2,yes
M,J,14,3,0.38461538461538464,0.6153846153846154,0,0,0,0,yes
M,M,10,13,0.38461538461538464,0.46153846153846156,0,0,5,5,no
M,M,9,12,0.5384615384615384,0.5384615384615384,0,0,7,8,no
M,M,16,9,0.23076923076923078,0.5384615384615384,0,0,1,5,no
M,M,15,7,0.6153846153846154,0.5384615384615384,0,0,3,8,no
M,M,14,7,0.5384615384615384,0.38461538461538464,0,0,0,0,yes
M,M,6,15,0.6923076923076923,0.5384615384615384,0,0,0,0,yes
M,M,13,4,0.5384615384615384,0.23076923076923078,0,0,3,2,yes
M,M,3,12,0.15384615384615385,0.23076923076923078,0,0,0,1,yes
M,M,2,8,0.3076923076923077,0.15384615384615385,0,0,1,1,yes
M,M,2,3,0.5384615384615384,0.5384615384615384,0,0,6,16,yes
M,M,8,1,0.5384615384615384,0.46153846153846156,0,0,1,2,no
M,M,1,11,0.46153846153846156,0.6153846153846154,0,0,2,1,no
M,K,4,1,0.3076923076923077,0.3076923076923077,0,0,2,1,yes
K,M,1,6,0.5384615384615384,0.6923076923076923,0,0,3,1,no
S,M,1,5,0.5384615384615384,0.6923076923076923,0,0,4,0,yes
S,M,1,5,0.38461538461538464,0.46153846153846156,0,0,2,0,yes
Y,O,1,1,1,0.8461538461538461,0,0,33,9,no
Y,O,1,2,0.9230769230769231,0.6923076923076923,0,0,21,10,yes
J,M,1,12,0.5,0.21428571428571427,0,0,1,4,yes
M,M,15,9,0.5714285714285714,0.5,0,0,6,1,yes
M,M,8,14,0.14285714285714285,0.42857142857142855,0,0,1,3,no
M,M,9,8,0.5714285714285714,0.5,0,0,5,4,no
M,M,12,7,0.5714285714285714,0.35714285714285715,0,0,0,0,no
M,M,14,6,0.5714285714285714,0.7142857142857143,0,0,1,1,no
M,M,5,15,0.42857142857142855,0.5,0,0,0,0,yes
M,M,16,4,0.21428571428571427,0.35714285714285715,0,0,1,3,yes
M,M,3,11,0.5,0.6428571428571429,0,0,5,5,no
M,M,13,3,0.5,0.21428571428571427,0,0,2,3,yes
M,M,2,6,0.5714285714285714,0.7142857142857143,0,0,1,1,no
M,M,2,10,0.35714285714285715,0.35714285714285715,0,0,7,10,no
M,M,1,7,0.42857142857142855,0.5714285714285714,0,0,4,2,no
M,M,13,1,0.5714285714285714,0.5,0,0,1,3,no
K,M,1,5,0.5,0.6428571428571429,0,0,3,2,no
K,M,1,4,0.2857142857142857,0.21428571428571427,0,0,3,4,no
S,S,1,1,0.5714285714285714,0.42857142857142855,0,0,10,7,no
O,O,2,1,0.6428571428571429,0.8571428571428571,0,0,9,23,no
Y,Y,1,1,0.9285714285714286,0.9285714285714286,0,0,16,28,yes
M,J,16,1,0.5,0.5,0,0,1,6,yes
M,M,15,16,0.5,0.5,0,0,0,1,no
M,M,14,15,0.5,0.5,0,0,1,2,no
M,M,13,14,0.5,0.5,0,0,0,0,yes
M,M,12,13,0.5,0.5,0,0,1,4,no
M,M,11,12,0.5,0.5,0,0,6,4,yes
M,M,11,10,0.5,0.5,0,0,0,0,yes
M,M,10,9,0.5,0.5,0,0,7,9,yes
M,M,9,8,0.5,0.5,0,0,2,7,yes
M,M,8,7,0.5,0.5,0,0,5,5,yes
M,M,6,6,0.5,0.5,0,0,2,4,yes
M,M,5,5,0.5,0.5,0,0,3,3,no
M,M,4,4,0.5,0.5,0,0,11,11,no
K,M,1,3,0.5,0.5,0,0,5,3,no
S,M,1,3,0.5,0.5,0,0,3,1,yes
S,M,1,2,0.5,0.5,0,0,3,0,yes
O,M,2,2,0.5,0.5,0,0,2,1,yes
O,M,1,1,0.5,0.5,0,0,7,2,no
M,O,1,1,0.5,0.5,0,0,7,27,yes
Y,K,1,1,0.5,0.5,0,0,21,1,yes
J,M,1,16,1,1,0,0,2,2,yes
M,M,16,15,1,1,0,0,2,4,yes
M,M,14,15,0,0,0,0,1,0,yes
M,M,14,13,0,1,0,0,2,2,yes
M,M,13,12,1,0,0,0,0,0,no
M,M,11,12,1,0,0,0,6,7,no
M,M,11,10,1,0,0,0,0,2,no
M,M,10,9,1,1,0,0,1,5,yes
M,M,9,8,0,0,0,0,6,1,no
M,M,8,6,1,1,0,0,8,6,yes
M,M,6,7,0,0,0,0,5,2,no
M,M,5,4,0,0,0,0,8,15,yes
M,M,4,5,1,1,0,0,1,3,no
M,K,3,1,0,0,0,0,4,13,yes
S,M,1,3,1,1,0,0,5,0,yes
S,M,1,2,1,0,0,0,0,0,no
O,K,1,1,0,0,0,0,9,2,yes
O,M,2,1,1,1,0,0,8,1,no
O,M,1,2,0,0,0,0,3,0,yes
Y,M,1,1,1,1,0,0,25,3,yes
M,M,16,16,1,0.5,0,0,0,2,no
J,M,2,15,0.5,0,0,0,2,2,yes
M,M,14,14,0.5,0.5,0,0,0,3,no
M,M,13,15,0.5,0.5,0,0,0,0,no
M,M,12,13,0.5,0.5,0,0,0,4,yes
M,M,12,10,0.5,0.5,0,0,0,0,no
M,M,10,11,1,0.5,0,0,0,4,no
M,M,11,9,0.5,0.5,0,0,3,5,no
M,M,8,9,1,0,0,0,6,1,no
M,M,8,7,0.5,0.5,0,0,5,1,yes
M,M,5,6,0.5,0.5,0,0,7,4,no
M,M,5,6,1,0,0,0,5,3,yes
M,M,3,2,0.5,0.5,0,0,3,2,yes
M,K,4,1,0.5,0,0,0,1,5,yes
S,M,1,3,0.5,0.5,0,0,3,0,yes
M,S,4,1,0,1,0,0,11,13,no
O,K,1,1,0.5,0,0,0,15,15,yes
O,M,1,2,0.5,0,0,0,2,2,yes
O,M,2,1,0.5,0.5,0,0,25,11,no
Y,M,1,1,1,1,0,0,10,0,yes
M,J,15,2,0.6666666666666666,0.3333333333333333,0,0,0,0,yes
M,M,14,16,0.3333333333333333,0.6666666666666666,0,0,1,5,no
M,M,14,13,0.6666666666666666,0.3333333333333333,0,0,1,4,no
M,M,12,16,0.6666666666666666,0.6666666666666666,0,0,1,0,yes
M,M,12,15,0.3333333333333333,0,0,0,4,6,no
M,M,13,10,0.3333333333333333,0.6666666666666666,0,0,3,2,yes
M,M,8,11,0.6666666666666666,0.6666666666666666,0,0,8,2,no
M,M,11,8,0.3333333333333333,0.6666666666666666,0,0,4,1,no
M,M,7,10,0.3333333333333333,0.6666666666666666,0,0,1,0,no
M,M,9,6,0.3333333333333333,0.6666666666666666,0,0,3,6,no
M,M,9,6,0.6666666666666666,0,0,0,4,1,no
M,M,5,3,1,0.3333333333333333,0,0,4,6,no
M,M,5,3,0.3333333333333333,0.6666666666666666,0,0,8,8,yes
K,M,1,2,0,0.3333333333333333,0,0,0,2,yes
M,S,4,1,0.6666666666666666,1,0,0,5,10,no
M,S,4,1,0,0.6666666666666666,0,0,18,17,no
O,M,1,1,0.6666666666666666,0.6666666666666666,0,0,12,8,yes
O,M,1,1,0.6666666666666666,0.6666666666666666,0,0,10,1,yes
Y,M,1,2,1,0,0,0,3,0,yes
M,M,13,16,0.5,0.75,0,0,0,0,yes
M,M,13,16,0.5,0.5,0,0,1,0,no
M,M,14,12,0.25,0.25,0,0,1,3,no
M,M,12,14,0.75,0.5,0,0,5,2,yes
M,M,11,15,0.75,0.75,0,0,1,0,no
M,M,11,15,0.25,0.25,0,0,1,1,no
M,M,9,10,0.5,0.75,0,0,0,1,no
M,M,8,10,0.5,0.5,0,0,4,2,no
M,M,9,6,0.25,0.25,0,0,3,4,no
M,M,6,8,0.75,0.75,0,0,4,3,no
M,M,5,7,0.75,0.25,0,0,3,0,yes
M,M,5,4,0.5,0.5,0,0,11,10,no
M,M,1,2,0.5,0,0,0,3,2,yes
M,S,1,1,0.5,0.75,0,0,16,15,no
S,K,1,1,1,0.25,0,0,10,8,no
O,M,1,3,0.75,0.5,0,0,4,0,no
M,O,4,2,0,0.5,0,0,16,26,no
O,M,1,3,0.75,0.5,0,0,4,2,yes
Y,M,1,2,1,0.25,0,0,2,0,yes
M,M,16,15,0.6,0.4,0,0,3,4,yes
M,M,13,15,0.4,0.8,0,0,2,3,no
M,M,13,14,0.6,0.4,0,0,2,4,no
M,M,11,14,0.2,0.2,0,0,0,0,no
M,M,11,16,0.6,0.6,0,0,0,0,no
M,M,9,12,0.4,0.4,0,0,0,0,yes
M,M,9,12,0.2,0.8,0,0,0,6,yes
M,M,8,10,0.4,0.8,0,0,1,0,no
M,M,10,8,0.6,0.8,0,0,7,2,no
M,M,6,7,0.6,0.2,0,0,1,7,yes
M,M,4,6,0.6,0.4,0,0,4,2,yes
M,M,1,2,0.4,0,0,0,1,1,yes
M,M,5,1,0.4,0.6,0,0,5,3,yes
S,M,1,5,0.8,0.8,0,0,6,3,no
S,K,1,1,0.8,0.4,0,0,10,10,no
M,O,4,1,0,0.8,0,0,14,12,no
O,M,1,2,0.6,0.2,0,0,2,0,yes
O,M,2,3,0.6,0.4,0,0,4,3,yes
Y,M,1,3,1,0.6,0,0,4,0,yes
M,M,14,16,0.3333333333333333,0.6666666666666666,0,0,0,2,no
M,M,16,13,0.6666666666666666,0.3333333333333333,0,0,3,3,yes
M,M,12,15,0.3333333333333333,0.8333333333333334,0,0,3,2,yes
M,M,11,15,0.5,0.3333333333333333,0,0,0,0,yes
M,M,11,14,0.16666666666666666,0.5,0,0,3,3,no
M,M,13,9,0.5,0.5,0,0,3,2,no
M,M,12,8,0.6666666666666666,0.8333333333333334,0,0,4,2,yes
M,M,9,7,0.3333333333333333,0.16666666666666666,0,0,2,10,no
M,M,10,6,0.5,0.3333333333333333,0,0,5,5,no
M,M,6,10,0.6666666666666666,0.8333333333333334,0,0,0,1,no
M,M,8,5,0.3333333333333333,0.8333333333333334,0,0,1,1,no
M,M,4,3,0.6666666666666666,0.5,0,0,2,4,yes
M,M,5,2,0.5,0,0,0,1,2,no
M,K,1,1,0.5,0.5,0,0,6,3,no
M,S,1,1,0.5,0.6666666666666666,0,0,15,7,yes
O,M,2,2,0.6666666666666666,0.16666666666666666,0,0,1,0,no
O,S,1,1,0.8333333333333334,0.6666666666666666,0,0,16,12,yes
M,O,4,1,0,0.6666666666666666,0,0,15,25,no
Y,M,1,3,1,0.3333333333333333,0,0,3,1,yes
M,M,13,15,0.42857142857142855,0.2857142857142857,0,0,0,0,no
M,M,16,12,0.7142857142857143,0.7142857142857143,0,0,0,1,no
M,M,11,13,0.5714285714285714,0.2857142857142857,0,0,1,0,yes
M,M,10,14,0.42857142857142855,0.5714285714285714,0,0,3,5,no
M,M,16,10,0.7142857142857143,0.8571428571428571,0,0,1,1,yes
M,M,9,14,0.2857142857142857,0.2857142857142857,0,0,0,0,no
M,M,8,15,0.7142857142857143,0.7142857142857143,0,0,2,1,no
M,M,12,7,0.42857142857142855,0.2857142857142857,0,0,0,0,yes
M,M,6,9,0.5714285714285714,0.5714285714285714,0,0,1,2,yes
M,M,11,6,0.14285714285714285,0.42857142857142855,0,0,3,4,no
M,M,5,8,0.42857142857142855,0.2857142857142857,0,0,3,4,no
M,M,4,2,0,0.14285714285714285,0,0,0,1,yes
M,M,1,3,0.5714285714285714,0.2857142857142857,0,0,5,4,yes
M,S,1,1,0.42857142857142855,0.5714285714285714,0,0,3,8,no
M,S,4,1,0.7142857142857143,0.5714285714285714,0,0,5,16,no
O,K,1,1,0.7142857142857143,0.5714285714285714,0,0,14,9,no
O,M,2,3,0.5714285714285714,0.42857142857142855,0,0,2,1,yes
O,M,1,2,0.8571428571428571,0.2857142857142857,0,0,2,0,yes
Y,M,1,5,1,0.8571428571428571,0,0,6,0,yes
M,M,14,16,0.625,0.75,0,0,0,0,no
M,M,12,12,0.75,0.5,0,0,1,0,no
M,M,11,16,0.625,0.625,0,0,1,1,yes
M,M,11,13,0.125,0.375,0,0,6,8,no
M,M,15,10,0.75,0.75,0,0,0,1,no
M,M,10,14,0.375,0.375,0,0,0,0,yes
M,M,9,15,0.25,0.375,0,0,1,0,no
M,M,9,13,0.5,0.25,0,0,2,1,yes
M,M,6,8,0.5,0.625,0,0,8,1,no
M,M,5,7,0.375,0.25,0,0,2,0,yes
M,M,6,5,0.625,0.75,0,0,0,3,no
M,M,4,8,0.125,0.375,0,0,5,3,yes
M,M,2,2,0.25,0.125,0,0,2,6,yes
M,K,1,1,0.625,0.625,0,0,7,8,no
S,M,1,1,0.625,0.375,0,0,2,6,yes
O,M,1,3,0.875,0.375,0,0,4,1,yes
O,M,1,3,0.625,0.25,0,0,5,0,no
O,S,2,1,0.625,0.625,0,0,10,14,yes
Y,M,1,4,1,0.625,0,0,15,1,yes
J,M,1,15,0.4444444444444444,0.4444444444444444,0,0,2,2,no
M,J,14,2,0.3333333333333333,0.5555555555555556,0,0,2,0,yes
M,M,12,16,0.5555555555555556,0.7777777777777778,0,0,1,1,yes
M,M,11,13,0.1111111111111111,0.2222222222222222,0,0,1,1,yes
M,M,10,16,0.4444444444444444,0.5555555555555556,0,0,5,1,no
M,M,9,15,0.5555555555555556,0.6666666666666666,0,0,0,0,no
M,M,9,14,0.2222222222222222,0.5555555555555556,0,0,4,3,no
M,M,8,13,0.3333333333333333,0.4444444444444444,0,0,7,5,yes
M,M,11,8,0.6666666666666666,0.6666666666666666,0,0,3,4,yes
M,M,6,12,0.5555555555555556,0.6666666666666666,0,0,8,1,yes
M,M,6,10,0.4444444444444444,0.7777777777777778,0,0,1,0,no
M,M,3,7,0.3333333333333333,0.2222222222222222,0,0,3,4,no
M,M,3,2,0.3333333333333333,0.1111111111111111,0,0,3,1,no
M,M,4,2,0.2222222222222222,0.3333333333333333,0,0,1,0,yes
M,M,1,1,0.5555555555555556,0.3333333333333333,0,0,8,4,no
S,M,1,5,0.6666666666666666,0.7777777777777778,0,0,2,6,no
O,K,2,1,0.6666666666666666,0.6666666666666666,0,0,9,11,no
O,S,1,1,0.8888888888888888,0.5555555555555556,0,0,14,8,yes
O,M,1,4,0.5555555555555556,0.5555555555555556,0,0,15,4,yes
M,Y,5,1,0.4444444444444444,1,0,0,2,26,no
M,M,16,14,0.6,0.6,0,0,1,1,no
M,M,14,11,0.4,0.7,0,0,0,0,no
M,M,12,10,0.6,0.8,0,0,1,0,no
M,M,10,15,0.4,0.7,0,0,2,1,yes
M,M,11,9,0.2,0.2,0,0,5,4,no
M,M,9,15,0.5,0.5,0,0,1,0,no
M,M,8,16,0.6,0.7,0,0,0,1,yes
M,M,8,13,0.4,0.2,0,0,0,0,yes
M,M,13,6,0.4,0.4,0,0,3,6,no
M,M,6,12,0.6,0.6,0,0,1,0,yes
M,M,4,3,0.3,0.3,0,0,4,3,yes
M,M,7,2,0.3,0.2,0,0,4,1,no
M,M,1,3,0.4,0.3,0,0,3,3,no
M,M,1,2,0.5,0.3,0,0,1,2,no
M,K,5,1,0.4,0.7,0,0,14,7,yes
O,S,1,1,0.6,0.5,0,0,13,8,yes
O,M,2,5,0.6,0.8,0,0,6,2,yes
O,M,1,4,0.9,0.5,0,0,14,0,yes
Y,S,1,1,1,0.6,0,0,33,10,yes
M,M,15,16,0.6363636363636364,0.6363636363636364,0,0,0,1,no
M,M,12,15,0.5454545454545454,0.5454545454545454,0,0,0,0,yes
M,M,11,12,0.18181818181818182,0.5454545454545454,0,0,0,1,no
M,M,11,14,0.7272727272727273,0.6363636363636364,0,0,2,2,yes
M,M,14,9,0.36363636363636365,0.45454545454545453,0,0,0,0,no
M,M,13,9,0.36363636363636365,0.2727272727272727,0,0,8,0,no
M,M,16,8,0.5454545454545454,0.6363636363636364,0,0,0,3,yes
M,M,13,7,0.18181818181818182,0.2727272727272727,0,0,1,0,no
M,M,8,6,0.45454545454545453,0.45454545454545453,0,0,1,2,yes
M,M,5,10,0.45454545454545453,0.45454545454545453,0,0,4,1,yes
M,M,4,3,0.36363636363636365,0.36363636363636365,0,0,2,2,no
M,M,3,2,0.2727272727272727,0.2727272727272727,0,0,1,2,yes
